name,year,yrttl_issues,yrttl_prs
1C Enterprise,2016,1009,712
1C Enterprise,2017,676,604
ABAP,2016,940,492
ABAP,2017,4380,2676
ABAP,2018,4748,5432
ABAP,2019,3848,5752
ABAP,2020,1902,3465
ActionScript,2013,4178,916
ActionScript,2014,9412,6060
ActionScript,2015,8744,4816
ActionScript,2016,4317,2144
ActionScript,2017,897,404
ApacheConf,2014,760,972
ApacheConf,2015,6496,15396
ApacheConf,2016,600,760
Apex,2014,7852,3528
Apex,2015,6592,4172
Apex,2016,6048,4812
Apex,2017,6668,5644
Apex,2018,3912,8020
Apex,2019,2832,7512
API Blueprint,2017,330,274
Arduino,2014,394,306
Arduino,2015,4268,2684
Arduino,2016,5256,5472
Arduino,2017,4560,6384
ASP,2014,156,104
ASP,2015,175,174
ASP,2016,1074,1340
ASP,2017,698,1305
Assembly,2013,162,159
Assembly,2014,4268,2932
Assembly,2015,5184,6576
Assembly,2016,4472,4240
Assembly,2017,5512,5492
Assembly,2018,3580,3904
Assembly,2019,3024,2888
Assembly,2020,3632,5216
Assembly,2021,3692,4328
AutoHotkey,2016,1166,432
AutoHotkey,2017,4059,1552
AutoIt,2015,120,355
AutoIt,2017,586,570
Batchfile,2015,2586,2154
Batchfile,2016,5848,5292
Batchfile,2017,6700,4384
Batchfile,2018,2536,1980
Batchfile,2019,1992,2384
Batchfile,2020,240,280
BitBake,2016,3464,6856
BitBake,2017,4012,9416
BitBake,2018,3280,7700
BitBake,2019,1808,4650
BitBake,2020,1852,5430
C,2011,1276,1246
C,2012,65692,58240
C,2013,177884,126644
C,2014,294436,257224
C,2015,456780,456596
C,2016,605448,585224
C,2017,603912,614756
C,2018,488836,490520
C,2019,453440,525928
C,2020,499016,535472
C,2021,361072,456104
C,2022,151,152
C#,2011,888,582
C#,2012,50628,30600
C#,2013,151400,82788
C#,2014,311920,178296
C#,2015,645100,493556
C#,2016,971176,690448
C#,2017,1034760,837988
C#,2018,756328,576104
C#,2019,689468,637088
C#,2020,607800,675380
C#,2021,408712,522992
C#,2022,148,187
C++,2011,4560,2024
C++,2012,143040,80480
C++,2013,307656,176940
C++,2014,569292,425440
C++,2015,825372,756444
C++,2016,1064444,1096212
C++,2017,1237724,1339104
C++,2018,1072700,1146816
C++,2019,920124,1220500
C++,2020,939600,1317936
C++,2021,673812,1018364
C++,2022,283,349
Ceylon,2016,1591,444
Clojure,2012,6448,6696
Clojure,2013,11020,11432
Clojure,2014,40180,34552
Clojure,2015,60900,72664
Clojure,2016,60880,81044
Clojure,2017,55212,79620
Clojure,2018,42052,57668
Clojure,2019,24888,43724
Clojure,2020,22124,37596
Clojure,2021,12044,24424
CMake,2014,2064,4272
CMake,2015,8192,9000
CMake,2016,9344,13076
CMake,2017,9484,16004
CMake,2018,6340,9156
CMake,2019,5548,6696
CMake,2020,3796,5592
CMake,2021,1652,1974
CodeQL,2020,2272,9261
CodeQL,2021,3380,14744
CoffeeScript,2012,20028,11776
CoffeeScript,2013,54204,35564
CoffeeScript,2014,140432,88660
CoffeeScript,2015,223284,129264
CoffeeScript,2016,155356,126012
CoffeeScript,2017,99720,75020
CoffeeScript,2018,48448,33884
CoffeeScript,2019,22488,24612
CoffeeScript,2020,18940,24980
CoffeeScript,2021,10052,19956
ColdFusion,2012,2964,1740
ColdFusion,2013,3756,2572
ColdFusion,2014,4384,3080
ColdFusion,2015,5152,3708
ColdFusion,2016,6260,4372
ColdFusion,2017,5460,2372
ColdFusion,2018,2550,1056
ColdFusion,2019,2630,1356
Common Lisp,2012,338,206
Common Lisp,2013,1762,1884
Common Lisp,2014,5012,2984
Common Lisp,2015,6004,5780
Common Lisp,2016,8444,11260
Common Lisp,2017,8212,9156
Common Lisp,2018,4960,4700
Common Lisp,2019,3656,3360
Common Lisp,2020,3212,5532
Common Lisp,2021,2001,2524
Common Workflow Language,2017,576,691
Coq,2017,214,224
Coq,2018,1350,2190
Coq,2019,1900,2620
Coq,2021,1316,3022
Crystal,2015,728,1329
Crystal,2016,5560,7320
Crystal,2017,9872,12436
Crystal,2018,5124,9540
Crystal,2019,2260,4704
Crystal,2020,1888,2910
Crystal,2021,339,592
CSS,2012,17800,9320
CSS,2013,90304,61504
CSS,2014,186068,177660
CSS,2015,304284,344968
CSS,2016,361600,484368
CSS,2017,341320,483776
CSS,2018,149964,178632
CSS,2019,94804,160024
CSS,2020,74888,167420
CSS,2021,42060,120112
Cuda,2015,1100,1088
Cuda,2016,4304,2596
Cuda,2017,2046,1136
Cuda,2018,602,852
Cuda,2020,404,456
Cuda,2021,1088,1370
D,2013,1240,516
D,2014,8200,5572
D,2015,10584,6272
D,2016,13432,6900
D,2017,14000,7060
D,2018,7136,3220
D,2019,2283,1508
D,2020,1370,1072
D,2021,236,306
Dart,2013,2703,3388
Dart,2014,11336,9100
Dart,2015,64240,26820
Dart,2016,64548,41948
Dart,2017,70416,57656
Dart,2018,111548,68884
Dart,2019,190680,115484
Dart,2020,245264,125712
Dart,2021,183688,118024
DM,2013,6080,12008
DM,2014,13952,25412
DM,2015,32076,53244
DM,2016,29112,69536
DM,2017,34212,152060
DM,2018,23384,97668
DM,2019,20728,69500
DM,2020,19720,70640
DM,2021,17740,51120
Dockerfile,2014,778,696
Dockerfile,2015,9872,12500
Dockerfile,2016,16952,22572
Dockerfile,2017,21316,34564
Dockerfile,2018,31136,33532
Dockerfile,2019,19484,26256
Dockerfile,2020,18772,25812
Dockerfile,2021,12172,22660
Eagle,2014,568,318
Eagle,2015,2736,1904
Eagle,2016,2676,2448
Eiffel,2015,569,168
Elixir,2012,2740,1686
Elixir,2013,5136,5420
Elixir,2014,11488,12280
Elixir,2015,26164,32036
Elixir,2016,54516,65280
Elixir,2017,68864,93184
Elixir,2018,39364,65120
Elixir,2019,29960,74836
Elixir,2020,22848,66876
Elixir,2021,10900,46844
Elm,2015,5540,4524
Elm,2016,11740,12252
Elm,2017,16120,15152
Elm,2018,6608,6456
Elm,2019,2348,3956
Elm,2020,2248,6184
Emacs Lisp,2012,8580,7324
Emacs Lisp,2013,22400,19352
Emacs Lisp,2014,34752,27688
Emacs Lisp,2015,51736,36324
Emacs Lisp,2016,46336,34768
Emacs Lisp,2017,50480,36176
Emacs Lisp,2018,38852,30784
Emacs Lisp,2019,35476,28468
Emacs Lisp,2020,42108,33188
Emacs Lisp,2021,27396,25824
Erlang,2011,111,149
Erlang,2012,7700,10112
Erlang,2013,11928,19660
Erlang,2014,21952,31032
Erlang,2015,37176,51908
Erlang,2016,40652,53236
Erlang,2017,40288,46820
Erlang,2018,22672,37056
Erlang,2019,13972,21428
Erlang,2020,11520,21688
Erlang,2021,10772,25196
F#,2013,630,488
F#,2014,15804,11284
F#,2015,24264,19004
F#,2016,23368,25256
F#,2017,25532,22364
F#,2018,13512,14016
F#,2019,11076,9616
F#,2020,8688,8672
F#,2021,6792,7180
F*,2017,1504,836
Fortran,2013,167,122
Fortran,2014,2628,5094
Fortran,2015,5855,9400
Fortran,2016,10010,17820
Fortran,2017,23140,15216
Fortran,2018,7844,11784
Fortran,2019,6300,9328
Fortran,2020,7160,9768
Fortran,2021,4604,7056
FreeMarker,2017,8516,6804
FreeMarker,2018,6672,9432
FreeMarker,2019,1412,1162
GAP,2016,213,114
GDScript,2015,479,429
GDScript,2017,1816,1288
GDScript,2018,139,134
Gherkin,2014,211,425
Gherkin,2015,2540,4560
Gherkin,2016,4752,7288
Gherkin,2017,8512,12808
Gherkin,2018,2140,5667
Gherkin,2019,448,1672
Gherkin,2020,404,1130
GLSL,2016,2500,5804
GLSL,2017,4500,4096
GLSL,2018,3892,2688
GLSL,2019,3128,2592
GLSL,2020,2556,2172
GLSL,2021,202,307
Go,2012,12392,8048
Go,2013,56908,49172
Go,2014,191012,215976
Go,2015,553012,732580
Go,2016,949988,1233744
Go,2017,1201176,1586172
Go,2018,959916,1340692
Go,2019,977600,1492232
Go,2020,986760,1676136
Go,2021,691852,1272032
Go,2022,204,206
Groff,2015,476,566
Groovy,2012,4316,8280
Groovy,2013,14012,11988
Groovy,2014,30792,26688
Groovy,2015,52712,44796
Groovy,2016,56568,71220
Groovy,2017,61468,92264
Groovy,2018,46428,78660
Groovy,2019,40276,71640
Groovy,2020,41172,77428
Groovy,2021,27920,51176
Hack,2015,303,226
Haskell,2011,169,111
Haskell,2012,14236,8884
Haskell,2013,21696,13704
Haskell,2014,81508,33192
Haskell,2015,69244,56652
Haskell,2016,72288,55944
Haskell,2017,63100,72120
Haskell,2018,38184,48144
Haskell,2019,28780,29964
Haskell,2020,25372,30748
Haskell,2021,18396,24036
Haxe,2013,3546,1332
Haxe,2014,8016,4708
Haxe,2015,11780,8148
Haxe,2016,13560,10760
Haxe,2017,8424,7532
Haxe,2018,5576,4776
Haxe,2019,5056,3032
Haxe,2020,4116,2940
Haxe,2021,390,345
HCL,2015,520,1041
HCL,2016,3084,8644
HCL,2017,10832,33536
HCL,2018,4640,16328
HCL,2019,6820,16172
HCL,2020,8628,22604
HCL,2021,7108,18132
HTML,2011,255,149
HTML,2012,25412,18528
HTML,2013,95724,74196
HTML,2014,250064,227456
HTML,2015,506664,647280
HTML,2016,590924,955116
HTML,2017,570872,994064
HTML,2018,286968,510448
HTML,2019,212272,469388
HTML,2020,173368,452296
HTML,2021,109484,371216
Java,2011,4456,2400
Java,2012,197324,136996
Java,2013,587332,344472
Java,2014,1082324,750144
Java,2015,1765688,1631744
Java,2016,2405156,2260812
Java,2017,2730524,2403220
Java,2018,1774952,1583340
Java,2019,1366200,1742560
Java,2020,1309848,2198980
Java,2021,914812,1867348
Java,2022,302,608
JavaScript,2011,9394,4368
JavaScript,2012,411272,277400
JavaScript,2013,1151956,699792
JavaScript,2014,2385716,1612828
JavaScript,2015,4146452,3364008
JavaScript,2016,5024044,5919528
JavaScript,2017,4930444,5908560
JavaScript,2018,2932432,3306764
JavaScript,2019,2143788,3151464
JavaScript,2020,1753384,3270600
JavaScript,2021,1101748,2524120
JavaScript,2022,220,1296
Jinja,2016,2096,1992
Jinja,2017,4592,3776
Jinja,2018,4356,4808
Jinja,2019,7692,11568
Jinja,2020,48200,12744
Jinja,2021,5168,10844
Jsonnet,2018,9256,13480
Jsonnet,2019,14612,16968
Jsonnet,2020,8144,11124
Jsonnet,2021,3852,8709
Julia,2013,6680,3552
Julia,2014,18672,10188
Julia,2015,26464,24864
Julia,2016,29036,26208
Julia,2017,18288,25444
Julia,2018,12664,13892
Julia,2019,13928,11352
Julia,2020,9152,14416
Julia,2021,5508,10368
Jupyter Notebook,2012,527,119
Jupyter Notebook,2013,5336,4136
Jupyter Notebook,2014,16884,14728
Jupyter Notebook,2015,31428,40768
Jupyter Notebook,2016,72032,92868
Jupyter Notebook,2017,95268,174836
Jupyter Notebook,2018,66868,113280
Jupyter Notebook,2019,66956,134352
Jupyter Notebook,2020,68272,142500
Jupyter Notebook,2021,43156,102016
KiCad,2016,116,112
KiCad,2017,233,244
Kotlin,2013,8660,5092
Kotlin,2014,29004,23604
Kotlin,2015,72440,41228
Kotlin,2016,118176,84100
Kotlin,2017,187724,161768
Kotlin,2018,156680,141384
Kotlin,2019,135204,164936
Kotlin,2020,141944,178520
Kotlin,2021,76800,154660
LabVIEW,2017,766,705
LiveScript,2016,1402,924
LLVM,2017,109,120
Lua,2012,8612,4929
Lua,2013,26428,13148
Lua,2014,46232,38096
Lua,2015,89100,65408
Lua,2016,117868,91172
Lua,2017,133340,106360
Lua,2018,71152,53028
Lua,2019,57784,41788
Lua,2020,62580,40420
Lua,2021,36864,29680
Makefile,2013,486,1272
Makefile,2014,9300,16584
Makefile,2015,23056,38080
Makefile,2016,23816,52808
Makefile,2017,25728,51876
Makefile,2018,16280,42200
Makefile,2019,13148,43132
Makefile,2020,16704,45212
Makefile,2021,10176,36604
Mako,2014,105,102
Mathematica,2015,354,303
Mathematica,2017,1482,792
Matlab,2014,5007,2730
MATLAB,2015,35216,21520
MATLAB,2016,46584,40112
MATLAB,2017,51840,57624
MATLAB,2018,24066,27272
MATLAB,2019,10372,13475
MATLAB,2020,9000,9576
MATLAB,2021,6936,7080
Meson,2018,216,268
Nginx,2016,4196,2520
Nim,2016,944,1876
Nim,2017,4232,4832
Nim,2018,3996,2540
Nim,2019,2932,1828
Nim,2020,3300,2788
Nim,2021,3364,3312
Nix,2013,576,2080
Nix,2014,6428,26784
Nix,2015,13328,40864
Nix,2016,20188,59596
Nix,2017,25036,77160
Nix,2018,28024,127280
Nix,2019,27616,158748
Nix,2020,37268,216564
Nix,2021,32320,286544
NSIS,2016,248,144
NSIS,2017,309,230
Nunjucks,2017,877,456
Nunjucks,2018,3687,2456
Nunjucks,2019,6968,3552
Nunjucks,2020,5190,1128
Nunjucks,2021,4518,1056
Objective-C,2011,496,236
Objective-C,2012,51332,25928
Objective-C,2013,127084,75648
Objective-C,2014,216600,132724
Objective-C,2015,286052,215480
Objective-C,2016,287536,222380
Objective-C,2017,234476,169956
Objective-C,2018,156712,93272
Objective-C,2019,122104,86344
Objective-C,2020,88760,76220
Objective-C,2021,48928,46116
Objective-C++,2015,1944,2512
Objective-C++,2016,7536,10488
Objective-C++,2017,7092,7568
Objective-C++,2018,368,433
Objective-J,2012,1773,1365
Objective-J,2013,2888,1424
Objective-J,2014,3822,1536
Objective-J,2015,450,318
Objective-J,2016,102,371
Objective-J,2018,101,180
OCaml,2013,5220,6576
OCaml,2014,10200,13176
OCaml,2015,22968,22024
OCaml,2016,36068,39324
OCaml,2017,43980,41332
OCaml,2018,30600,33132
OCaml,2019,26720,36600
OCaml,2020,20820,31392
OCaml,2021,16876,29088
ooc,2014,110,212
ooc,2015,2136,4182
ooc,2016,960,1817
OpenEdge ABL,2015,259,304
OpenEdge ABL,2016,888,652
Pascal,2013,200,283
Pascal,2014,1376,1202
Pascal,2015,9596,3676
Pascal,2016,12300,5484
Pascal,2017,14904,6988
Pascal,2018,10136,2532
Pascal,2019,6212,2448
Pascal,2020,4512,1768
Pascal,2021,3060,1316
Pawn,2020,699,786
Perl,2012,5812,8142
Perl,2013,24336,29164
Perl,2014,28976,44532
Perl,2015,56932,61620
Perl,2016,73692,68012
Perl,2017,65200,66588
Perl,2018,44132,47076
Perl,2019,43400,45292
Perl,2020,40480,44280
Perl,2021,27568,34056
Perl 6,2015,3256,3378
Perl 6,2016,6500,5836
Perl 6,2017,7640,5844
Perl 6,2018,7636,3504
Perl 6,2019,2982,1353
PHP,2011,6802,5490
PHP,2012,216264,264584
PHP,2013,523296,452232
PHP,2014,906632,810960
PHP,2015,1363252,1361756
PHP,2016,1499592,1659544
PHP,2017,1505908,1670772
PHP,2018,966608,990380
PHP,2019,778984,934292
PHP,2020,717568,971180
PHP,2021,469940,770492
PHP,2022,173,445
PLpgSQL,2014,797,492
PLpgSQL,2015,11368,5588
PLpgSQL,2016,11296,8292
PLpgSQL,2017,14792,12648
PLpgSQL,2018,13164,12368
PLpgSQL,2019,8968,7932
PLpgSQL,2020,7932,8728
PLpgSQL,2021,7496,6464
PLSQL,2015,4492,3868
PLSQL,2016,4708,3300
PLSQL,2017,4916,4180
PLSQL,2018,4088,2984
PLSQL,2019,3972,2508
PLSQL,2020,1458,1644
PostScript,2014,484,250
PostScript,2015,1599,1443
PostScript,2016,1372,1396
PostScript,2017,4212,2696
PostScript,2018,831,616
PowerShell,2013,3188,2628
PowerShell,2014,8892,8272
PowerShell,2015,23948,34168
PowerShell,2016,41896,52836
PowerShell,2017,55712,62488
PowerShell,2018,38168,39464
PowerShell,2019,27152,30828
PowerShell,2020,20092,29788
PowerShell,2021,11772,16468
Processing,2015,808,1966
Processing,2016,1812,1140
Processing,2017,315,415
Prolog,2016,480,1268
Protocol Buffer,2015,1119,1656
Protocol Buffer,2016,1335,2367
Protocol Buffer,2017,399,458
Pug,2016,105,138
Puppet,2013,6168,9681
Puppet,2014,8884,25728
Puppet,2015,12284,33552
Puppet,2016,9264,38196
Puppet,2017,6864,29608
Puppet,2018,3496,18820
Puppet,2019,1528,12543
Puppet,2020,1140,5908
PureScript,2014,164,256
PureScript,2015,7272,9376
PureScript,2016,6872,10456
PureScript,2017,7564,11844
PureScript,2018,3872,5140
PureScript,2019,1185,1647
PureScript,2020,688,1138
Python,2011,7528,5086
Python,2012,313532,277244
Python,2013,706344,665460
Python,2014,1251680,1255256
Python,2015,2012644,2340768
Python,2016,2507076,3194464
Python,2017,2895860,3881860
Python,2018,2081200,2960688
Python,2019,1842768,3083652
Python,2020,1830052,3239220
Python,2021,1312068,2705156
Python,2022,411,788
QML,2014,4132,2444
QML,2015,13316,6184
QML,2016,12436,6192
QML,2017,11320,5536
QML,2018,4686,3276
QML,2019,2912,2800
QML,2020,2106,1952
QML,2021,1440,1304
R,2013,870,1268
R,2014,13212,9812
R,2015,40872,30628
R,2016,52076,44528
R,2017,70768,56208
R,2018,45048,30884
R,2019,37680,21944
R,2020,34248,15904
R,2021,22932,12804
Racket,2014,108,129
Racket,2015,3208,3852
Racket,2016,2880,2456
Racket,2017,4240,3140
Racket,2018,474,868
Raku,2017,788,859
Raku,2018,5852,2304
Raku,2019,3964,2684
Raku,2020,3616,2648
Raku,2021,1074,1125
Rascal,2016,3844,2752
Rascal,2017,1498,804
Reason,2020,306,242
Rich Text Format,2015,127,157
Rich Text Format,2016,1095,1569
Rich Text Format,2017,696,680
Rich Text Format,2018,486,628
Rich Text Format,2019,1671,1140
RobotFramework,2016,1508,2946
RobotFramework,2017,6976,3780
RobotFramework,2018,2529,3396
Roff,2015,1806,1144
Roff,2016,6612,4340
Roff,2017,9484,7560
Roff,2018,8228,4940
Roff,2019,4616,4992
Roff,2020,2864,4773
Roff,2021,1748,4700
Ruby,2011,10652,7358
Ruby,2012,262420,376584
Ruby,2013,514180,574372
Ruby,2014,694612,1024224
Ruby,2015,873204,1669720
Ruby,2016,875096,1784236
Ruby,2017,734208,1639136
Ruby,2018,425476,1104304
Ruby,2019,313744,1082480
Ruby,2020,263328,1212020
Ruby,2021,192936,1066544
Rust,2013,1419,1598
Rust,2014,29796,48376
Rust,2015,72372,118048
Rust,2016,106068,138308
Rust,2017,141188,187064
Rust,2018,93504,121076
Rust,2019,81068,141916
Rust,2020,80608,172804
Rust,2021,54344,112060
SaltStack,2016,1700,2787
SaltStack,2017,956,2708
SaltStack,2019,416,701
SAS,2016,331,157
Scala,2011,305,200
Scala,2012,20340,30864
Scala,2013,59744,56052
Scala,2014,112228,147872
Scala,2015,169372,247044
Scala,2016,194224,341372
Scala,2017,207372,358012
Scala,2018,116888,238672
Scala,2019,85412,277828
Scala,2020,74824,311284
Scala,2021,52260,305584
Scheme,2013,828,1144
Scheme,2014,2840,5836
Scheme,2015,3160,7028
Scheme,2016,4876,6100
Scheme,2017,4240,4132
Scheme,2018,2884,4124
Scheme,2019,1680,2420
Scheme,2020,497,351
SCSS,2014,386,601
SCSS,2015,2636,7592
SCSS,2016,3624,14312
SCSS,2017,5512,13488
SCSS,2018,4664,15092
SCSS,2019,4216,24904
SCSS,2020,8952,34120
SCSS,2021,7608,42128
Shell,2011,306,406
Shell,2012,23692,27984
Shell,2013,59396,63572
Shell,2014,127648,148600
Shell,2015,269864,343404
Shell,2016,374832,486184
Shell,2017,407112,536604
Shell,2018,287892,366116
Shell,2019,227692,338128
Shell,2020,204472,357516
Shell,2021,148144,336496
Smalltalk,2013,520,628
Smalltalk,2014,2292,2988
Smalltalk,2015,9192,4892
Smalltalk,2016,10436,7244
Smalltalk,2017,8572,7016
Smalltalk,2018,7396,5868
Smalltalk,2019,9752,5772
Smalltalk,2020,13720,5484
Smalltalk,2021,6171,3376
Smarty,2015,898,1256
Smarty,2016,2668,3388
Smarty,2017,4476,10700
Smarty,2018,1284,2620
Smarty,2019,460,2575
Smarty,2020,428,3168
SourcePawn,2015,2538,1916
SourcePawn,2016,8552,4312
SourcePawn,2017,8416,4364
SourcePawn,2018,4044,2512
SourcePawn,2019,1612,1436
SourcePawn,2020,2226,1448
SourcePawn,2021,278,222
SQF,2013,284,172
SQF,2014,560,378
SQF,2015,6012,4376
SQF,2016,8656,5836
SQF,2017,8360,5180
SQF,2018,1068,738
SQL,2014,100,123
SQLPL,2015,100,114
SQLPL,2016,1515,1845
Standard ML,2014,1526,1052
Standard ML,2015,3160,4140
Standard ML,2016,3744,3092
Standard ML,2017,3464,3572
Standard ML,2018,565,771
Standard ML,2020,875,412
Standard ML,2021,422,354
Starlark,2017,2736,5307
Starlark,2018,5548,13160
Starlark,2019,10464,68920
Starlark,2020,10312,115568
Starlark,2021,9720,78908
Swift,2013,3814,2097
Swift,2014,37816,29776
Swift,2015,147680,143132
Swift,2016,307728,327256
Swift,2017,323408,358112
Swift,2018,203452,213504
Swift,2019,139768,174964
Swift,2020,107360,146932
Swift,2021,60212,96364
SWIG,2019,562,684
SWIG,2020,1104,1492
SWIG,2021,430,442
SystemVerilog,2019,2070,4202
SystemVerilog,2020,9264,29912
SystemVerilog,2021,10120,32484
Tcl,2014,342,353
Tcl,2015,240,384
Tcl,2016,1860,2428
Tcl,2017,1233,1572
TeX,2013,1862,3120
TeX,2014,11688,6564
TeX,2015,25052,17232
TeX,2016,27984,28336
TeX,2017,25836,27032
TeX,2018,10808,7964
TeX,2019,7740,7464
TeX,2020,6624,6256
TeX,2021,5728,4940
Thrift,2015,822,4888
TSQL,2014,3796,8488
TSQL,2015,9784,14976
TSQL,2016,11152,12480
TSQL,2017,10148,14412
TSQL,2018,7804,15108
TSQL,2019,6148,12072
TSQL,2020,5420,5896
TSQL,2021,2664,2892
Twig,2018,246,338
TypeScript,2012,4248,6172
TypeScript,2013,29836,29572
TypeScript,2014,119792,80400
TypeScript,2015,342832,265716
TypeScript,2016,976512,741260
TypeScript,2017,1523036,1320112
TypeScript,2018,1170196,1178292
TypeScript,2019,1021356,1354816
TypeScript,2020,1015792,1600884
TypeScript,2021,762096,1396728
TypeScript,2022,169,544
Uno,2017,1521,2072
Uno,2018,208,286
UnrealScript,2017,1123,456
UnrealScript,2019,206,210
UnrealScript,2020,102,123
Vala,2013,2576,964
Vala,2014,5202,1404
Vala,2015,10060,4456
Vala,2016,13028,4772
Vala,2017,27476,9244
Vala,2018,17152,7888
Vala,2019,10808,5044
Vala,2020,11032,5072
Vala,2021,7532,4536
Verilog,2016,598,530
Verilog,2017,922,460
Verilog,2020,2220,3600
Verilog,2021,3064,10340
VHDL,2016,717,1008
VHDL,2017,806,576
Vim script,2012,1803,1245
Vim script,2013,9536,4272
Vim script,2014,13972,7088
Vim script,2015,18536,11660
Vim script,2016,28404,21896
Vim script,2017,43396,36724
Vim script,2018,29596,23776
Vim script,2019,21900,23200
Vim script,2020,19976,29640
Vim script,2021,12904,14660
VimL,2012,520,532
VimL,2013,6000,3708
VimL,2014,7908,4052
VimL,2015,8012,6344
VimL,2016,4196,3572
Visual Basic,2014,1046,2192
Visual Basic,2015,10828,20276
Visual Basic,2016,18660,42316
Visual Basic,2017,13424,25804
Visual Basic,2018,5180,2764
Visual Basic,2019,1342,1128
Visual Basic .NET,2016,550,675
Visual Basic .NET,2017,6060,18452
Visual Basic .NET,2018,2912,9944
Visual Basic .NET,2019,2584,6416
Visual Basic .NET,2020,2680,6756
Visual Basic .NET,2021,3500,7012
Vue,2015,1332,1140
Vue,2016,29800,20568
Vue,2017,141192,70124
Vue,2018,101024,53796
Vue,2019,74652,54864
Vue,2020,45644,45724
Vue,2021,20120,32424
Web Ontology Language,2015,243,256
Web Ontology Language,2017,523,328
WebAssembly,2016,464,1262
XQuery,2015,150,149
XSLT,2012,1714,1172
XSLT,2013,7396,3160
XSLT,2014,7160,5936
XSLT,2015,8196,7896
XSLT,2016,6476,8812
XSLT,2017,7372,8988
XSLT,2018,4748,7376
XSLT,2019,3552,3992
XSLT,2020,2940,4200
XSLT,2021,1692,2979
Xtend,2014,105,109
Xtend,2016,2716,3456
Xtend,2017,2064,2268
YAML,2016,1132,8436
YAML,2017,440,1722
YAML,2018,420,1156
YAML,2019,2144,6351
YAML,2020,2940,11484
YAML,2021,1628,4350
